Member_ID,First_name,Last_name,Membership_Type,Borrowing_Limit,Membership_Duration,Violations
1,Phillip,Thomas,Individual Membership,5,2,3
2,Robert,Nelson,Student Membership,10,3,0
3,Veronica,Simmons,Individual Membership,5,1,5
4,Nicole,Smith,Family Membership,10,4,2
5,Anita,Gregory,Individual Membership,5,2,1
6,Megan,Escobar,Family Membership,10,2,1
7,Sandra,Choi,Family Membership,10,3,0
8,Eduardo,Taylor,Individual Membership,5,1,1
9,Jamie,Allen,Student Membership,10,4,1
10,Amanda,Gardner,Individual Membership,5,3,4
11,Erica,Bowman,Family Membership,10,5,5
12,Ashley,Lopez,Family Membership,10,4,4
13,Larry,Walton,Individual Membership,5,1,0
14,Shawn,Mclaughlin,Individual Membership,5,4,5
15,Kenneth,Petersen,Student Membership,10,1,5
16,Jenna,Pennington,Individual Membership,5,1,2
17,Joseph,Wright,Family Membership,10,1,4
18,Katherine,Moore,Student Membership,10,4,0
19,Ashley,Schneider,Student Membership,10,3,1
20,Nicholas,Vazquez,Family Membership,10,1,3
21,Kimberly,Copeland,Individual Membership,5,3,5
22,Brandon,Jones,Family Membership,10,4,5
23,Sierra,Santos,Family Membership,10,3,0
24,Jessica,Williams,Student Membership,10,3,2
25,Shannon,Silva,Student Membership,10,5,4
26,Patricia,Douglas,Student Membership,10,3,4
27,Rebecca,Thornton,Family Membership,10,4,0
28,Christina,Jackson,Family Membership,10,1,1
29,Rebecca,Fox,Family Membership,10,5,5
30,Carlos,Cortez,Family Membership,10,3,5
31,Dean,Baker,Family Membership,10,5,5
32,William,Torres,Student Membership,10,1,3
33,Christine,Lee,Family Membership,10,4,1
34,Joanna,Willis,Family Membership,10,4,3
35,Jennifer,Griffin,Student Membership,10,4,1
36,Michael,Rosales,Student Membership,10,4,0
37,Derrick,White,Student Membership,10,3,3
38,Jacob,Lee,Individual Membership,5,4,1
39,Robert,Lynch,Family Membership,10,5,4
40,Albert,Lane,Individual Membership,5,1,0
41,Mario,Webb,Family Membership,10,3,1
42,Lisa,Luna,Student Membership,10,2,5
43,Lauren,Burke,Individual Membership,5,4,4
44,Angela,Bennett,Family Membership,10,3,0
45,Dean,Webb,Family Membership,10,2,5
46,Katherine,Sims,Student Membership,10,5,2
47,Tina,Reed,Individual Membership,5,4,2
48,Glenn,Johnson,Student Membership,10,2,2
49,Andrew,Herrera,Individual Membership,5,4,4
50,Linda,Hayden,Student Membership,10,1,4
51,Justin,Anderson,Individual Membership,5,5,1
52,Shane,Page,Student Membership,10,5,0
53,Jason,Robinson,Family Membership,10,4,2
54,Jason,Graham,Student Membership,10,2,2
55,John,Hill,Student Membership,10,2,0
56,Deborah,Fischer,Student Membership,10,3,1
57,Cynthia,Lewis,Individual Membership,5,2,1
58,Karen,Gilbert,Family Membership,10,1,5
59,Angela,Mack,Individual Membership,5,2,5
60,Philip,Martinez,Individual Membership,5,3,0
61,James,Tran,Individual Membership,5,4,2
62,Autumn,Torres,Student Membership,10,2,2
63,Angel,Collins,Individual Membership,5,3,1
64,Kimberly,Sharp,Family Membership,10,2,5
65,Chad,Rodriguez,Individual Membership,5,5,5
66,Brenda,Turner,Individual Membership,5,2,5
67,William,Obrien,Student Membership,10,3,2
68,Billy,Johnson,Student Membership,10,5,1
69,Jose,Butler,Individual Membership,5,2,2
70,Alex,Morse,Family Membership,10,3,4
71,Brenda,Russell,Individual Membership,5,2,5
72,Steven,Morton,Student Membership,10,3,1
73,Thomas,Johnson,Student Membership,10,4,2
74,Ryan,Brown,Family Membership,10,5,3
75,David,Solis,Family Membership,10,1,4
76,Christopher,Harrington,Individual Membership,5,5,4
77,Micheal,Ortega,Individual Membership,5,2,4
78,Teresa,Allen,Student Membership,10,5,1
79,Victoria,Valdez,Family Membership,10,4,1
80,Jason,Pennington,Family Membership,10,2,3
81,Lisa,Young,Family Membership,10,4,1
82,Sandra,Vasquez,Student Membership,10,3,4
83,Lisa,Carr,Family Membership,10,3,2
84,Charles,Baker,Student Membership,10,1,2
85,Renee,Scott,Family Membership,10,1,4
86,Ashley,Davis,Individual Membership,5,4,4
87,Zachary,Miller,Student Membership,10,5,3
88,Jason,Roman,Individual Membership,5,3,0
89,Anna,Price,Family Membership,10,5,2
90,Rhonda,Vincent,Individual Membership,5,2,5
91,Jasmine,Morris,Individual Membership,5,3,3
92,Brenda,Marshall,Family Membership,10,2,0
93,Robert,Ayers,Student Membership,10,2,5
94,Rebecca,Foster,Student Membership,10,1,5
95,Cindy,Brown,Individual Membership,5,2,1
96,Elizabeth,Montoya,Student Membership,10,3,3
97,Tyler,Benson,Family Membership,10,5,2
98,Vincent,Reilly,Family Membership,10,1,4
99,Stacy,Brown,Family Membership,10,3,1
100,Katelyn,Pearson,Student Membership,10,4,3
101,Lindsay,Ford,Student Membership,10,3,4
102,Aaron,Young,Student Membership,10,2,0
103,Erica,Jensen,Individual Membership,5,1,5
104,Stephanie,Coleman,Student Membership,10,3,5
105,Monica,Allen,Family Membership,10,4,5
106,Nathan,Rogers,Individual Membership,5,3,0
107,Heather,Hardy,Family Membership,10,5,5
108,Stephen,Foster,Individual Membership,5,5,0
109,Regina,Sims,Individual Membership,5,2,1
110,Harry,Miller,Family Membership,10,1,4
111,Pamela,Mckay,Individual Membership,5,5,2
112,Andrew,Johnson,Individual Membership,5,1,5
113,Anthony,Casey,Individual Membership,5,2,5
114,Michael,Spencer,Family Membership,10,5,5
115,Rachel,Ho,Family Membership,10,4,5
116,David,Hardy,Family Membership,10,4,1
117,Matthew,Mayer,Individual Membership,5,1,5
118,Beth,Wong,Family Membership,10,2,5
119,Patrick,Williams,Family Membership,10,1,1
120,Christopher,Gross,Individual Membership,5,3,1
121,Brianna,Gregory,Individual Membership,5,3,5
122,Ryan,Olson,Individual Membership,5,3,5
123,Mary,Wilson,Individual Membership,5,2,1
124,Brittany,Johnson,Individual Membership,5,2,3
125,Diana,Flynn,Student Membership,10,5,2
126,Elizabeth,Lee,Individual Membership,5,2,4
127,Christian,Jackson,Student Membership,10,3,1
128,Alicia,Campbell,Individual Membership,5,4,1
129,Laura,Flores,Individual Membership,5,3,4
130,Kathryn,Roberts,Individual Membership,5,2,3
131,Andrea,Anderson,Student Membership,10,5,0
132,Alexander,Hale,Individual Membership,5,1,5
133,Kenneth,Chan,Student Membership,10,5,5
134,Samantha,Little,Individual Membership,5,3,4
135,Maria,Woods,Family Membership,10,1,5
